#Present in minus of 3 samples	Abundance < 5e-05	Present in databank of contaminants
Cluster_5479	Cluster_5382	
Cluster_5480	Cluster_5390	
Cluster_5498	Cluster_5415	
Cluster_5511	Cluster_5422	
Cluster_5521	Cluster_5432	
Cluster_5525	Cluster_5448	
Cluster_5526	Cluster_5463	
Cluster_5544	Cluster_5469	
Cluster_5549	Cluster_5472	
Cluster_5553	Cluster_5479	
Cluster_5556	Cluster_5480	
Cluster_5559	Cluster_5498	
Cluster_5571	Cluster_5511	
Cluster_5579	Cluster_5521	
Cluster_5586	Cluster_5525	
Cluster_5603	Cluster_5526	
Cluster_5605	Cluster_5544	
Cluster_5613	Cluster_5549	
Cluster_5617	Cluster_5553	
Cluster_5619	Cluster_5556	
Cluster_5627	Cluster_5559	
Cluster_5628	Cluster_5571	
Cluster_5634	Cluster_5579	
Cluster_5648	Cluster_5586	
Cluster_5649	Cluster_5603	
Cluster_5654	Cluster_5605	
Cluster_5657	Cluster_5613	
Cluster_5671	Cluster_5617	
Cluster_5672	Cluster_5619	
Cluster_5680	Cluster_5627	
Cluster_5686	Cluster_5628	
Cluster_5687	Cluster_5634	
Cluster_5693	Cluster_5648	
Cluster_5697	Cluster_5649	
Cluster_5704	Cluster_5654	
Cluster_5712	Cluster_5657	
Cluster_5713	Cluster_5671	
Cluster_5715	Cluster_5672	
Cluster_5717	Cluster_5680	
Cluster_5725	Cluster_5686	
Cluster_5737	Cluster_5687	
Cluster_5762	Cluster_5693	
Cluster_5768	Cluster_5697	
Cluster_5780	Cluster_5704	
Cluster_5792	Cluster_5712	
Cluster_5794	Cluster_5713	
Cluster_5802	Cluster_5715	
Cluster_5805	Cluster_5717	
Cluster_5815	Cluster_5725	
Cluster_5833	Cluster_5737	
Cluster_5839	Cluster_5762	
Cluster_5844	Cluster_5768	
Cluster_5853	Cluster_5780	
Cluster_5866	Cluster_5792	
Cluster_5883	Cluster_5794	
Cluster_5901	Cluster_5802	
Cluster_5905	Cluster_5805	
Cluster_5912	Cluster_5815	
Cluster_5937	Cluster_5833	
Cluster_5939	Cluster_5839	
Cluster_5947	Cluster_5844	
Cluster_5948	Cluster_5853	
	Cluster_5866	
	Cluster_5883	
	Cluster_5901	
	Cluster_5905	
	Cluster_5912	
	Cluster_5937	
	Cluster_5939	
	Cluster_5947	
	Cluster_5948	
